run_id,model_id,model_name,folder,params_M,gflops,epochs,mAP50,mAP50_95,precision,recall,inference_ms,train_time_min,date,notes,is_best
27,v12,v12_stem_eca (ThermalStem + C2f_ECA Backbone),models/v12_stem_eca,3.01,8.6,50,0.8603,0.6087,0.8111,0.8064,3.48,14.4,2026-08-29 13:33:25,ThermalStem contrast stem + C2f_ECA backbone with pretrained weights,False
28,v12_eval,v12_stem_eca (ThermalStem + C2f_ECA) [Official Test],models/v12_stem_eca,3.01,8.6,50,0.8513,0.6052,0.8270,0.8041,3.48,14.4,2026-08-29 13:33:25,official test split evaluation on held-out data/splits/test.txt (108 images),False
29,v13,v13_c2f_eca_distill (C2f_ECA + RGB Distillation),models/v13_c2f_eca_distill,3.01,8.1,50,0.8715,0.6208,0.8442,0.7826,4.34,11.9,2026-08-29 13:45:47,C2f_ECA backbone student trained with multi-scale RGB cosine feature distillation,False
30,v13_eval,v13_c2f_eca_distill (C2f_ECA + Distill) [Official Test],models/v13_c2f_eca_distill,3.01,8.1,50,0.8739,0.6341,0.8722,0.8077,4.34,11.9,2026-08-29 13:45:47,official test split evaluation on held-out data/splits/test.txt (108 images),False
31,v14,v14_c2f_ghost (YOLOv8n + GhostConv in Bottlenecks),models/v14_c2f_ghost,2.89,7.9,50,0.8240,0.5756,0.7968,0.7571,3.05,12.1,2026-08-29 13:58:28,GhostConv (pointwise conv + cheap depthwise linear ops) in backbone bottlenecks with pretrained weights,False
32,v14_eval,v14_c2f_ghost (GhostConv in Bottleneck) [Official Test],models/v14_c2f_ghost,2.89,7.9,50,0.8425,0.5978,0.7934,0.8165,3.05,12.1,2026-08-29 13:58:28,official test split evaluation on held-out data/splits/test.txt (108 images),False
33,v15,v15_c2f_dual_eca (YOLOv8n + Dual ECA in Bottlenecks),models/v15_c2f_dual_eca,3.01,8.2,50,0.8746,0.6221,0.8429,0.8028,4.54,13.0,2026-08-29 14:12:08,Dual ECA channel attention (post-cv1 and post-cv2) in backbone bottlenecks with pretrained weights,False
34,v15_eval,v15_c2f_dual_eca (Dual ECA in Bottleneck) [Official Test],models/v15_c2f_dual_eca,3.01,8.2,50,0.8550,0.6219,0.8924,0.7589,4.54,13.0,2026-08-29 14:12:08,official test split evaluation on held-out data/splits/test.txt (108 images),False
35,v16,v16_c2f_coordatt (YOLOv8n + Coordinate Attention in Bottlenecks),models/v16_c2f_coordatt,3.02,8.2,50,0.8614,0.6069,0.8301,0.7774,3.55,13.3,2026-08-29 14:26:10,Coordinate Attention (1D horizontal + 1D vertical spatial pooling) in backbone bottlenecks with pretrained weights,False
36,v16_eval,v16_c2f_coordatt (Coordinate Attention in Bottleneck) [Official Test],models/v16_c2f_coordatt,3.02,8.2,50,0.8547,0.6272,0.8310,0.8067,3.55,13.3,2026-08-29 14:26:10,official test split evaluation on held-out data/splits/test.txt (108 images),False
37,v17,v17_c2f_eca_scratch (C2f_ECA Backbone from Scratch),models/v17_c2f_eca_scratch,3.01,8.1,100,0.8033,0.5273,0.8616,0.7008,3.17,24.2,2026-08-29 14:50:42,C2f_ECA trained from random initialization without pretrained weights for 100 epochs,False
38,v17_eval,v17_c2f_eca_scratch (Scratch Init) [Official Test],models/v17_c2f_eca_scratch,3.01,8.1,100,0.7841,0.5236,0.8270,0.7235,3.17,24.2,2026-08-29 14:50:42,official test split evaluation on held-out data/splits/test.txt (108 images),False
39,v18,v18_c2f_eca_mish (YOLOv8n + Mish-Activated ECA Bottlenecks),models/v18_c2f_eca_mish,3.01,8.2,50,0.8665,0.6168,0.8327,0.7984,4.32,11.9,2026-08-29 15:03:22,Mish activation (smooth non-monotonic gradient) + ECA channel attention in backbone bottlenecks with pretrained weights,False
40,v18_eval,v18_c2f_eca_mish (Mish ECA Bottleneck) [Official Test],models/v18_c2f_eca_mish,3.01,8.2,50,0.8588,0.6239,0.8612,0.8126,4.32,11.9,2026-08-29 15:03:22,official test split evaluation on held-out data/splits/test.txt (108 images),False
41,v0_eval,v0_baseline (Stock YOLOv8n) [Official Test],models/v0_baseline,3.01,8.1,50,0.8622,0.6292,0.8274,0.8335,2.76,0.1,2026-08-29 15:03:37,official test split evaluation on held-out data/splits/test.txt (108 images),False
42,v1_eval,v1_thermal_stem (Thermal Stem) [Official Test],models/v1_thermal_stem,3.01,8.2,50,0.8447,0.6094,0.8135,0.8237,3.04,0.0,2026-08-29 15:03:39,official test split evaluation on held-out data/splits/test.txt (108 images),False
43,v2_eval,v2_cbam_backbone (CBAM Attention) [Official Test],models/v2_cbam_backbone,3.02,8.3,50,0.6614,0.4048,0.6390,0.6750,2.33,0.0,2026-08-29 15:03:42,official test split evaluation on held-out data/splits/test.txt (108 images),False
44,v3_eval,v3_bifpn_neck (BiFPN Neck) [Official Test],models/v3_bifpn_neck,3.02,8.5,50,0.6884,0.4381,0.6919,0.6079,2.52,0.0,2026-08-29 15:03:44,official test split evaluation on held-out data/splits/test.txt (108 images),False
45,v4_eval,v4_rgb_distill (RGB Distillation) [Official Test],models/v4_rgb_distill,3.01,8.1,50,0.8587,0.6257,0.8636,0.7784,2.30,0.0,2026-08-29 15:03:46,official test split evaluation on held-out data/splits/test.txt (108 images),False
46,v5_eval,v5_c2f_eca (C2f_ECA Backbone) [Official Test],models/v5_c2f_eca,3.01,8.1,50,0.6653,0.4339,0.6908,0.6391,3.50,0.0,2026-08-29 15:03:49,official test split evaluation on held-out data/splits/test.txt (108 images),False
47,v6_eval,v6_c2f_dcn (C2f_DCN Backbone) [Official Test],models/v6_c2f_dcn,3.09,8.3,50,0.6665,0.4389,0.6264,0.6439,4.27,0.0,2026-08-29 15:03:51,official test split evaluation on held-out data/splits/test.txt (108 images),False
48,v0_eval,v0_baseline (Stock YOLOv8n) [Official Test],models/v0_baseline,3.01,8.1,50,0.8622,0.6292,0.8274,0.8335,2.52,0.0,2026-08-29 15:04:18,official test split evaluation on held-out data/splits/test.txt (108 images),False
49,v1_eval,v1_thermal_stem (Thermal Stem) [Official Test],models/v1_thermal_stem,3.01,8.2,50,0.8447,0.6094,0.8135,0.8237,2.58,0.0,2026-08-29 15:04:20,official test split evaluation on held-out data/splits/test.txt (108 images),False
50,v2_eval,v2_cbam_backbone (CBAM Attention) [Official Test],models/v2_cbam_backbone,3.02,8.3,50,0.6614,0.4048,0.6390,0.6750,2.74,0.0,2026-08-29 15:04:22,official test split evaluation on held-out data/splits/test.txt (108 images),False
51,v3_eval,v3_bifpn_neck (BiFPN Neck) [Official Test],models/v3_bifpn_neck,3.02,8.5,50,0.6884,0.4381,0.6919,0.6079,2.28,0.0,2026-08-29 15:04:24,official test split evaluation on held-out data/splits/test.txt (108 images),False
52,v4_eval,v4_rgb_distill (RGB Distillation) [Official Test],models/v4_rgb_distill,3.01,8.1,50,0.8587,0.6257,0.8636,0.7784,1.88,0.0,2026-08-29 15:04:26,official test split evaluation on held-out data/splits/test.txt (108 images),False
53,v5_eval,v5_c2f_eca (C2f_ECA Scratch) [Official Test],models/v5_c2f_eca,3.01,8.1,50,0.6653,0.4339,0.6908,0.6391,3.34,0.0,2026-08-29 15:04:29,official test split evaluation on held-out data/splits/test.txt (108 images),False
54,v5b_eval,v5b_c2f_eca (C2f_ECA Pretrained) [Official Test],models/v5b_c2f_eca,3.01,8.1,50,0.8739,0.6341,0.8722,0.8077,2.87,0.0,2026-08-29 15:04:31,official test split evaluation on held-out data/splits/test.txt (108 images),False
55,v6_eval,v6_c2f_dcn (C2f_DCN Backbone) [Official Test],models/v6_c2f_dcn,3.09,8.3,50,0.6665,0.4389,0.6264,0.6439,3.36,0.0,2026-08-29 15:04:33,official test split evaluation on held-out data/splits/test.txt (108 images),False
56,v7_eval,v7_c2f_cbam (CBAM in Bottleneck) [Official Test],models/v7_c2f_cbam,3.01,8.2,50,0.8596,0.6272,0.8161,0.8194,2.51,0.0,2026-08-29 15:04:36,official test split evaluation on held-out data/splits/test.txt (108 images),False
57,v8_eval,v8_c2f_pconv (FasterNet PConv) [Official Test],models/v8_c2f_pconv,2.59,7.0,50,0.8109,0.5671,0.8439,0.7352,3.54,0.0,2026-08-29 15:04:38,official test split evaluation on held-out data/splits/test.txt (108 images),False
58,v9_eval,v9_c2f_eca_all (Full-Network C2f_ECA) [Official Test],models/v9_c2f_eca_all,3.01,8.2,50,0.8545,0.6111,0.8581,0.7770,3.25,0.0,2026-08-29 15:04:40,official test split evaluation on held-out data/splits/test.txt (108 images),False
59,v10_eval,v10_c2f_eca_adaptive (Adaptive ECA) [Official Test],models/v10_c2f_eca_adaptive,3.01,8.2,50,0.8551,0.6157,0.8789,0.7974,3.77,0.0,2026-08-29 15:04:43,official test split evaluation on held-out data/splits/test.txt (108 images),False
60,v11_eval,v11_c2f_eca_deep (Deepened C2f_ECA) [Official Test],models/v11_c2f_eca_deep,3.44,9.3,50,0.8181,0.5869,0.7761,0.7620,4.54,0.0,2026-08-29 15:04:46,official test split evaluation on held-out data/splits/test.txt (108 images),False
61,v12_eval,v12_stem_eca (ThermalStem + C2f_ECA) [Official Test],models/v12_stem_eca,3.01,8.6,50,0.8513,0.6052,0.8270,0.8041,4.78,0.0,2026-08-29 15:04:48,official test split evaluation on held-out data/splits/test.txt (108 images),False
62,v13_eval,v13_c2f_eca_distill (C2f_ECA + Distill) [Official Test],models/v13_c2f_eca_distill,3.01,8.1,50,0.8739,0.6341,0.8722,0.8077,3.25,0.0,2026-08-29 15:04:51,official test split evaluation on held-out data/splits/test.txt (108 images),False
63,v14_eval,v14_c2f_ghost (GhostConv in Bottleneck) [Official Test],models/v14_c2f_ghost,2.89,7.9,50,0.8425,0.5978,0.7934,0.8165,2.87,0.0,2026-08-29 15:04:53,official test split evaluation on held-out data/splits/test.txt (108 images),False
64,v15_eval,v15_c2f_dual_eca (Dual ECA in Bottleneck) [Official Test],models/v15_c2f_dual_eca,3.01,8.2,50,0.8550,0.6219,0.8924,0.7589,3.97,0.0,2026-08-29 15:04:56,official test split evaluation on held-out data/splits/test.txt (108 images),False
65,v16_eval,v16_c2f_coordatt (Coordinate Attention) [Official Test],models/v16_c2f_coordatt,3.02,8.2,50,0.8547,0.6272,0.8310,0.8067,3.35,0.0,2026-08-29 15:04:58,official test split evaluation on held-out data/splits/test.txt (108 images),False
66,v17_eval,v17_c2f_eca_scratch (Scratch 100 Epochs) [Official Test],models/v17_c2f_eca_scratch,3.01,8.1,50,0.7841,0.5236,0.8270,0.7235,2.65,0.0,2026-08-29 15:05:00,official test split evaluation on held-out data/splits/test.txt (108 images),False
67,v18_eval,v18_c2f_eca_mish (Mish ECA Bottleneck) [Official Test],models/v18_c2f_eca_mish,3.01,8.2,50,0.8588,0.6239,0.8612,0.8126,3.55,0.0,2026-08-29 15:05:03,official test split evaluation on held-out data/splits/test.txt (108 images),False
68,v5s,v5s_c2f_eca (YOLOv8s + C2f_ECA Backbone 2x Dimension),models/v5s_c2f_eca,3.01,28.7,50,0.7369,0.4670,0.7944,0.6500,3.70,12.5,2026-08-31 13:23:28,Scale 's' channel capacity doubling (11.14M params) with C2f_ECA backbone and yolov8s.pt transfer,False
69,v5s_eval,v5s_c2f_eca (Scale s C2f_ECA) [Official Test],models/v5s_c2f_eca,3.01,28.7,50,0.6973,0.4552,0.7501,0.6264,3.70,12.5,2026-08-31 13:23:28,official test split evaluation on held-out data/splits/test.txt (108 images),False
70,v5s,v5s_c2f_eca (YOLOv8s + C2f_ECA Backbone 2x Dimension),models/v5s_c2f_eca,3.01,28.7,50,0.7369,0.4670,0.7944,0.6500,3.95,13.1,2026-08-31 13:37:04,Scale 's' channel capacity doubling (11.14M params) with C2f_ECA backbone and yolov8s.pt transfer,False
71,v5s_eval,v5s_c2f_eca (Scale s C2f_ECA) [Official Test],models/v5s_c2f_eca,3.01,28.7,50,0.6973,0.4552,0.7501,0.6264,3.95,13.1,2026-08-31 13:37:04,official test split evaluation on held-out data/splits/test.txt (108 images),False
72,v5s,v5s_c2f_eca (YOLOv8s + C2f_ECA Backbone 2x Dimension),models/v5s_c2f_eca,3.01,28.7,50,0.7369,0.4670,0.7944,0.6500,3.47,12.8,2026-08-31 13:51:15,Scale 's' channel capacity doubling (11.14M params) with C2f_ECA backbone and yolov8s.pt transfer,False
73,v5s_eval,v5s_c2f_eca (Scale s C2f_ECA) [Official Test],models/v5s_c2f_eca,3.01,28.7,50,0.6973,0.4552,0.7501,0.6264,3.47,12.8,2026-08-31 13:51:15,official test split evaluation on held-out data/splits/test.txt (108 images),False
74,v19,v19_c2f_eca_inception (Inception Strip Convs + ECA),models/v19_c2f_eca_inception,3.33,8.3,50,0.8314,0.5829,0.8205,0.7453,6.02,12.7,2026-09-02 08:50:00,Multi-scale asymmetric strip convolutions (1x5 + 5x1 + 3x3 + 1x1) with ECA channel attention in bottlenecks,False
75,v19_eval,v19_c2f_eca_inception (Inception ECA Bottleneck) [Official Test],models/v19_c2f_eca_inception,3.33,8.3,50,0.8235,0.5875,0.7772,0.7955,6.02,12.7,2026-09-02 08:50:01,official test split evaluation on held-out data/splits/test.txt (108 images),False
76,v20,v20_c2f_eca_dilated (Dilated d=2 Receptive Field + ECA),models/v20_c2f_eca_dilated,3.01,8.1,50,0.8600,0.6072,0.8299,0.8027,4.16,18.0,2026-09-02 09:08:47,"Dilated 3x3 convolution (d=2, p=2) inside ECA bottlenecks with 100% yolov8n.pt transfer",False
77,v20_eval,v20_c2f_eca_dilated (Dilated ECA Bottleneck) [Official Test],models/v20_c2f_eca_dilated,3.01,8.1,50,0.8522,0.6060,0.8077,0.8228,4.16,18.0,2026-09-02 09:08:47,official test split evaluation on held-out data/splits/test.txt (108 images),False
78,v21,v21_dilated_hybrid (Hybrid: ECA@P2/P3 + Dilated-ECA@P4/P5),models/v21_dilated_hybrid,3.01,8.1,50,0.8619,0.6179,0.8157,0.7955,2.84,9.1,2026-09-02 09:31:35,Standard ECA P2/P3 + Dilated d=2 ECA P4/P5; best of both worlds,False
79,v21_eval,v21_dilated_hybrid (Hybrid Dilated ECA) [Official Test],models/v21_dilated_hybrid,3.01,8.1,50,0.8741,0.6303,0.8539,0.8090,2.84,9.1,2026-09-02 09:31:35,official test split evaluation on held-out data/splits/test.txt (108 images),False
80,v22,v22_dilated_cosine (Dilated ECA + 100ep Cosine LR),models/v22_dilated_cosine,3.01,8.1,100,0.8739,0.6236,0.8594,0.7911,3.18,20.5,2026-09-02 09:52:17,v20 arch + 100 epochs + cos_lr=True; tests if dilated kernels need longer convergence,False
81,v22_eval,v22_dilated_cosine (Dilated ECA 100ep Cosine) [Official Test],models/v22_dilated_cosine,3.01,8.1,100,0.8587,0.6388,0.8397,0.8159,3.18,20.5,2026-09-02 09:52:17,official test split evaluation on held-out data/splits/test.txt (108 images),False
82,v23,v23_thermal_aug (v5b arch + thermal augmentation),models/v23_thermal_aug,3.01,8.1,50,0.8317,0.5730,0.7926,0.7711,2.50,13.9,2026-09-02 10:06:21,"v5b arch; hsv_s=0, hsv_h=0, hsv_v=0.6, flipud=0.3, degrees=10 — thermal-specific aug",False
83,v23_eval,v23_thermal_aug (Thermal Aug ECA) [Official Test],models/v23_thermal_aug,3.01,8.1,50,0.8320,0.5834,0.7925,0.7801,2.50,13.9,2026-09-02 10:06:21,official test split evaluation on held-out data/splits/test.txt (108 images),False
84,v24,v24_copy_paste_aug (v5b arch + copy_paste=0.3),models/v24_copy_paste_aug,3.01,8.1,50,0.8715,0.6208,0.8442,0.7826,3.42,9.4,2026-09-02 10:15:56,v5b arch; copy_paste=0.3 to over-sample rare bag/unattended classes,False
85,v24_eval,v24_copy_paste_aug (CopyPaste Aug ECA) [Official Test],models/v24_copy_paste_aug,3.01,8.1,50,0.8739,0.6341,0.8722,0.8077,3.42,9.4,2026-09-02 10:15:56,official test split evaluation on held-out data/splits/test.txt (108 images),False
86,v25,v25_dilated_graduated (Graduated Dilation d=1/1/2/3 per stage + ECA),models/v25_dilated_graduated,3.01,8.1,50,0.8624,0.6143,0.7788,0.7989,5.08,9.5,2026-09-02 10:25:38,"graduated dilation: P2/P3 d=1, P4 d=2, P5 d=3; full pretrained transfer",False
87,v25_eval,v25_dilated_graduated (Graduated Dilation ECA) [Official Test],models/v25_dilated_graduated,3.01,8.1,50,0.8589,0.6115,0.8109,0.8299,5.08,9.5,2026-09-02 10:25:38,official test split evaluation on held-out data/splits/test.txt (108 images),False
88,v26,v26_v21_p4_dilated (Dilation d=2 only at P4 + ECA),models/v26_v21_p4_dilated,3.01,8.1,50,0.8632,0.6126,0.8321,0.8108,2.44,9.0,2026-09-02 11:07:53,"Dilation d=2 only at P4; P2, P3, P5 keep standard ECA; prevents conflict with SPPF",False
89,v26_eval,v26_v21_p4_dilated (P4 Dilated ECA) [Official Test],models/v26_v21_p4_dilated,3.01,8.1,50,0.8652,0.6256,0.8568,0.7983,2.44,9.0,2026-09-02 11:07:53,official test split evaluation on held-out data/splits/test.txt (108 images),False
90,v27,v27_v21_cosine (v21 Hybrid Dilated + Cosine LR 75ep),models/v27_v21_cosine,3.01,8.1,75,0.8788,0.6227,0.8611,0.7940,3.93,17.4,2026-09-02 11:25:28,"v21 Hybrid Dilated architecture + 75 epochs Cosine LR decay (cos_lr=True, lrf=0.01)",False
91,v27_eval,v27_v21_cosine (Hybrid Dilated Cosine) [Official Test],models/v27_v21_cosine,3.01,8.1,75,0.8757,0.6349,0.8847,0.8043,3.93,17.4,2026-09-02 11:25:28,official test split evaluation on held-out data/splits/test.txt (108 images),False
92,v28,v28_v21_dilated_dual_eca (v21 Hybrid + Dual ECA at P4/P5),models/v28_v21_dilated_dual_eca,3.01,8.1,50,0.8718,0.6172,0.8340,0.7912,3.71,17.7,2026-09-02 11:43:20,v21 Hybrid architecture with Dual ECA calibration inserted into dilated P4/P5 stages,False
93,v28_eval,v28_v21_dilated_dual_eca (Hybrid Dilated Dual ECA) [Official Test],models/v28_v21_dilated_dual_eca,3.01,8.1,50,0.8592,0.6261,0.8671,0.7854,3.71,17.7,2026-09-02 11:43:21,official test split evaluation on held-out data/splits/test.txt (108 images),False
94,v29,v29_v21_p3p4_dilated (Dilation at P3 and P4 + ECA),models/v29_v21_p3p4_dilated,3.01,8.1,50,0.8629,0.6150,0.8413,0.7636,3.44,11.4,2026-09-02 11:54:53,Dilation d=2 at P3 and P4; standard ECA at P2 and P5,False
95,v29_eval,v29_v21_p3p4_dilated (P3+P4 Dilated ECA) [Official Test],models/v29_v21_p3p4_dilated,3.01,8.1,50,0.8436,0.6141,0.8300,0.8097,3.44,11.4,2026-09-02 11:54:53,official test split evaluation on held-out data/splits/test.txt (108 images),False
96,v30,v30_v27_cosine_100ep (v21 Hybrid + 100ep Cosine LR),models/v30_v27_cosine_100ep,3.01,8.1,100,0.8740,0.6340,0.8605,0.7971,4.25,18.8,2026-09-02 12:14:44,"v21 Hybrid Dilated architecture + 100 epochs Cosine LR decay (cos_lr=True, lrf=0.01, close_mosaic=20)",False
97,v30_eval,v30_v27_cosine_100ep (100ep Cosine Hybrid Dilated) [Official Test],models/v30_v27_cosine_100ep,3.01,8.1,100,0.8789,0.6473,0.8722,0.8338,4.25,18.8,2026-09-02 12:14:44,official test split evaluation on held-out data/splits/test.txt (108 images),False
98,v31,v31_v27_sppf_eca (v27 Hybrid Dilated + SPPF_ECA + Cosine 75ep),models/v31_v27_sppf_eca,3.01,8.1,75,0.8848,0.6223,0.8316,0.8250,4.38,23.1,2026-09-02 12:38:03,v21 Hybrid Dilated + SPPF_ECA layer 9 + 75 epochs Cosine LR schedule,True
99,v31_eval,v31_v27_sppf_eca (SPPF_ECA + Hybrid Dilated) [Official Test],models/v31_v27_sppf_eca,3.01,8.1,75,0.8713,0.6334,0.8185,0.8495,4.38,23.1,2026-09-02 12:38:03,official test split evaluation on held-out data/splits/test.txt (108 images),False
100,v32,v32_v27_mixup (v27 Hybrid Dilated + mixup=0.1 + Cosine 75ep),models/v32_v27_mixup,3.01,8.1,75,0.8702,0.6256,0.8474,0.7955,3.59,27.2,2026-09-02 13:05:29,v21 Hybrid Dilated + mixup=0.1 + 75 epochs Cosine LR schedule,False
101,v32_eval,v32_v27_mixup (Mixup + Hybrid Dilated) [Official Test],models/v32_v27_mixup,3.01,8.1,75,0.8635,0.6365,0.9080,0.7836,3.59,27.2,2026-09-02 13:05:29,official test split evaluation on held-out data/splits/test.txt (108 images),False
102,v33,v33_v30_concat_eca (Hybrid Dilated + Concat_ECA + 100ep Cosine),models/v33_v30_concat_eca,3.01,8.1,100,0.8789,0.6283,0.8582,0.7840,4.08,20.9,2026-09-04 08:09:47,v30 Hybrid Dilated + Concat_ECA cross-scale skip gating + 100 epochs Cosine LR schedule,False
103,v33_eval,v33_v30_concat_eca (Concat_ECA + Hybrid Dilated) [Official Test],models/v33_v30_concat_eca,3.01,8.1,100,0.8531,0.6209,0.8357,0.8035,4.08,20.9,2026-09-04 08:09:48,official test split evaluation on held-out data/splits/test.txt (108 images),False
